"id","code","family_id","results","special_challenge_options","challenge_start_date","challenge_end_date","created_date","updated_date","status"
41,"S03",537,"FAILED",NA,2017-05-01,2017-08-01,2017-05-08 15:00:03,2017-05-01 15:00:02,NA
42,"S03",1767,"FAILED",NA,2017-05-01,2017-08-01,2017-05-08 15:00:03,2017-05-01 15:00:02,NA
43,"S03",1774,"FAILED",NA,2017-05-01,2017-08-01,2017-05-08 15:00:03,2017-05-01 15:00:02,NA
45,"S03",304,"FAILED",NA,2017-05-01,2017-08-01,2017-05-08 15:00:03,2017-05-01 15:00:02,NA
46,"S03",548,"FAILED",NA,2017-05-01,2017-08-01,2017-05-08 15:00:03,2017-05-01 15:00:02,NA
51,"S03",198,"FAILED",NA,2017-05-01,2017-08-01,2017-05-08 15:00:03,2017-05-01 15:00:02,NA
57,"S03",537,"AVAILABLE",NA,2017-05-08,2017-08-08,2017-05-08 15:00:03,2017-05-08 15:00:03,NA
61,"S03",6,"AVAILABLE",NA,2017-05-08,2017-08-08,2017-05-08 15:00:03,2017-05-08 15:00:03,NA
70,"S03",456,"AVAILABLE",NA,2017-05-08,2017-08-08,2017-05-08 15:00:03,2017-05-08 15:00:03,NA
74,"S03",235,"AVAILABLE",NA,2017-05-08,2017-08-08,2017-05-08 15:00:03,2017-05-08 15:00:03,NA
273,"S03",267,"SUCCESS",NA,NA,NA,2017-05-09 11:31:27,2017-05-09 11:31:27,NA
26,"S03",426,"FAILED",NA,2017-04-10,2017-07-10,2017-05-15 15:00:03,2017-04-11 15:37:37,NA
50,"S03",189,"FAILED",NA,2017-05-01,2017-08-01,2017-05-15 15:00:03,2017-05-01 15:00:02,NA
56,"S03",1770,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
58,"S03",1767,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
59,"S03",88,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
60,"S03",65,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
62,"S03",1774,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
64,"S03",168,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
65,"S03",351,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
67,"S03",370,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
68,"S03",548,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
69,"S03",400,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
72,"S03",240,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
73,"S03",186,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
75,"S03",198,"FAILED",NA,2017-05-08,2017-08-08,2017-05-15 15:00:03,2017-05-08 15:00:03,NA
81,"S03",1767,"AVAILABLE",NA,2017-05-15,2017-08-15,2017-05-15 15:00:03,2017-05-15 15:00:03,NA
84,"S03",88,"AVAILABLE",NA,2017-05-15,2017-08-15,2017-05-15 15:00:03,2017-05-15 15:00:03,NA
55,"S04",231,"FAILED",NA,2017-05-07,2017-08-07,2017-05-18 15:00:03,2017-05-07 15:00:03,NA
89,"S03",168,"AVAILABLE",NA,2017-05-15,2017-08-15,2017-05-15 15:00:03,2017-05-15 15:00:03,NA
